attage,sex,smoker,exposure,actual_dths,expected_dths,actual_mort,expected_mort
90,M,U,1587.7431,202,217.31506,0.127224612,0.136870417
90,U,N,9.9151,2,1.00608,0.201712539,0.101469476
90,U,S,4.863,0,0.72783,0,0.149666872
90,U,U,81.1824,3,9.60405,0.036953823,0.11830212
91,F,N,226.0776,23,18.24028,0.101734979,0.080681501
91,F,S,93.9241,7,11.0253,0.074528263,0.117385208
91,F,U,727.156,71,71.28377,0.097640671,0.098030918
91,M,N,255.8717,20,33.68566,0.078164174,0.131650589
91,M,S,274.6837,30,46.79674,0.109216528,0.170365915
91,M,U,1363.7438,188,203.04369,0.137855805,0.148886976
91,U,N,7.7688,1,0.85593,0.128720008,0.110175317
91,U,S,4.2927,0,0.75398,0,0.17564237
91,U,U,48.4055,11,6.6793,0.227246904,0.137986386
92,F,N,177.7677,20,16.22862,0.112506378,0.091291163
92,F,S,76.9608,6,9.65471,0.077961768,0.125449709
92,F,U,508.5402,76,53.22378,0.149447379,0.104659927
92,M,N,192.5435,16,27.5576,0.083098105,0.143124021
92,M,S,184.0922,21,33.63643,0.114073274,0.182715129
92,M,U,1305.9518,180,213.86433,0.137830508,0.163761274
92,U,N,8.3532,4,1.05802,0.478858402,0.126660442
92,U,S,3.8517,0,0.59812,0,0.155287276
92,U,U,63.3371,13,8.6148,0.205250951,0.136015069
93,F,N,115.4342,16,11.3178,0.138607103,0.098045467
93,F,S,72.486,7,10.0347,0.096570372,0.138436388
93,F,U,575.5275,73,65.34041,0.12684016,0.113531343
93,M,N,134.6138,21,21.32369,0.156001836,0.158406419
93,M,S,190.4752,24,37.3278,0.126000655,0.195971969
93,M,U,963.338,130,166.51345,0.134947443,0.172850495
93,U,N,1.6082,0,0.16402,0,0.101989802
93,U,S,0.8822,0,0.15337,0,0.173849467
93,U,U,47.6898,5,7.1733,0.104844222,0.150415812
94,F,N,81.1457,10,8.6209,0.123235119,0.106239764
94,F,S,55.6079,8,7.82527,0.143864451,0.140722271
94,F,U,405.031,51,49.7195,0.125916288,0.122754801
94,M,N,101.7979,10,17.47669,0.098233854,0.171680261
94,M,S,143.8887,28,30.14338,0.19459485,0.209490947
94,M,U,764.032,152,142.43532,0.198944547,0.186425857
94,U,N,2.9342,0,0.47712,0,0.162606503
94,U,S,2.5008,0,0.45357,0,0.181369962
94,U,U,34.2358,5,5.16465,0.146045952,0.150855245
95,F,N,50.6285,8,5.78022,0.158013767,0.114169292
95,F,S,30.7921,4,4.65569,0.129903449,0.151197547
95,F,U,344.3319,58,46.73546,0.168442134,0.135727942
95,M,N,64.7881,11,12.24003,0.169784266,0.188924046
95,M,S,128.3423,27,28.07717,0.210374911,0.218767858
95,M,U,601.1015,117,119.39448,0.194642669,0.198626155
95,U,N,4.1671,0,0.51481,0,0.123541552
95,U,S,2.7758,0,0.64552,0,0.232552778
95,U,U,24.3845,5,4.26007,0.205048289,0.174704013
96,F,N,38.9282,7,4.81562,0.179818229,0.12370518
96,F,S,23.3071,7,3.74787,0.300337665,0.160803789
96,F,U,252.0514,44,35.86895,0.174567568,0.142308077
96,M,N,62.0675,14,11.91833,0.225560881,0.192022073
96,M,S,62.7828,12,14.07567,0.191135152,0.224196277
96,M,U,474.542,95,100.69838,0.200193028,0.212201196
96,U,N,0.5069,0,0.07145,0,0.140954823
96,U,S,0.1671,0,0.02354,0,0.140873728
96,U,U,22.9323,4,4.09222,0.174426464,0.178447866
97,F,N,29.9611,2,4.0683,0.066753223,0.135786069
97,F,S,26.2345,2,4.0932,0.076235491,0.156023557
97,F,U,185.1082,27,28.81479,0.145860637,0.155664579
97,M,N,28.4421,6,6.17835,0.210954887,0.217225521
97,M,S,65.0147,15,16.11307,0.230717053,0.247837335
97,M,U,318.6734,52,70.54077,0.163176468,0.221357572
97,U,S,1,1,0.24966,1,0.24966
97,U,U,22.4272,4,4.60539,0.178354855,0.205348416
98,F,N,23.093,4,3.45823,0.173212662,0.149752306
98,F,S,13.8548,2,2.42693,0.144354303,0.175168895
98,F,U,120.2718,24,20.74926,0.199548024,0.172519743
98,M,N,17.1555,3,3.78748,0.174871033,0.220773513
98,M,S,51.9872,11,13.26046,0.211590545,0.255071633
98,M,U,231.2787,56,54.70484,0.242132112,0.236532115
